# Findings this volume accepts.
#
# tools/audit.py checks the parsed library against independent chapter and
# verse counts. Every line it reports is either a defect or a property of the
# printed edition, and until this file existed there was no way to tell which:
# the script exited zero whatever it found, so a hundred and fifty lines of
# known-good output hid the real ones. Three chapters of Ignatius and fifty-six
# chapter openings were missing from the volume the whole time it ran.
#
# So: a finding not listed here fails the build. A line listed here that no
# longer occurs also fails the build, because the file has to keep describing
# the volume as it actually is. Nothing regenerates it -- every entry below was
# written down with a reason, which is the standard the rest of the volume is
# held to, and a baseline that rewrote itself would let the next regression in
# under a passing build.
#
# Format: KIND | work | detail | detail. Blank lines and # are ignored.
#
# Regenerate the findings with:
#     python3 tools/audit.py docs/data


# ------------------------------------------------------------------------
# The World English Bible follows the critical text
#
# The WEB is the edition printed here. It omits the verses that modern
# critical editions judge to be later additions, and keeps the verse
# numbers so the omission is visible rather than silent. Acts 8:37,
# 15:34 and 24:7, and Luke 17:36, are those verses. Revelation 12 is a
# versification difference, not an omission: the WEB ends the chapter at
# 17 where the KJV runs to 18.

V-GAP | acts | Chapter 15 | missing [34]
NO-POSITION | the-epistle-of-ignatius-to-the-philadelphians | placed by its section's era | no dated position record
NO-POSITION | the-epistle-of-ignatius-to-the-romans | placed by its section's era | no dated position record
NO-POSITION | the-epistle-of-ignatius-to-the-smyrnaeans | placed by its section's era | no dated position record
NO-POSITION | the-epistle-of-ignatius-to-the-trallians | placed by its section's era | no dated position record
NO-POSITION | the-epistle-of-mathetes-to-diognetus | placed by its section's era | no dated position record
NO-POSITION | the-epistle-of-polycarp-to-the-philippians | placed by its section's era | no dated position record
NO-POSITION | the-gospel-of-nicodemus-part-i-the-acts-of-pilate | placed by its section's era | no dated position record
NO-POSITION | the-gospel-of-pseudo-matthew | placed by its section's era | no dated position record
NO-POSITION | the-gospel-of-thomas-infancy-first-greek-form | placed by its section's era | no dated position record
NO-POSITION | the-letter-of-jeremiah-baruch-6 | placed by its section's era | no dated position record
NO-POSITION | the-martyrdom-of-polycarp | placed by its section's era | no dated position record
NO-POSITION | the-prayer-of-azariah-and-the-song-of-the-three-greek-daniel-3-24-90 | placed by its section's era | no dated position record
NO-POSITION | the-prayer-of-manasseh | placed by its section's era | no dated position record
NO-POSITION | the-protevangelium-of-james | placed by its section's era | no dated position record
NO-POSITION | the-second-epistle-of-clement | placed by its section's era | no dated position record
NO-POSITION | the-song-of-deborah-judges-5 | placed by its section's era | no dated position record
NO-POSITION | the-song-of-the-sea-exodus-15 | placed by its section's era | no dated position record
NO-POSITION | the-testament-of-asher | placed by its section's era | no dated position record
NO-POSITION | the-testament-of-benjamin | placed by its section's era | no dated position record
NO-POSITION | the-testament-of-dan | placed by its section's era | no dated position record
NO-POSITION | the-testament-of-gad | placed by its section's era | no dated position record
NO-POSITION | the-testament-of-issachar | placed by its section's era | no dated position record
NO-POSITION | the-testament-of-joseph | placed by its section's era | no dated position record
NO-POSITION | the-testament-of-judah | placed by its section's era | no dated position record
NO-POSITION | the-testament-of-levi | placed by its section's era | no dated position record
NO-POSITION | the-testament-of-naphtali | placed by its section's era | no dated position record
NO-POSITION | the-testament-of-reuben | placed by its section's era | no dated position record
NO-POSITION | the-testament-of-simeon | placed by its section's era | no dated position record
NO-POSITION | the-testament-of-zebulun | placed by its section's era | no dated position record
NO-POSITION | the-wisdom-of-solomon | placed by its section's era | no dated position record
NO-POSITION | tobit | placed by its section's era | no dated position record
NO-POSITION | vision-1 | placed by its section's era | no dated position record
NO-POSITION | vision-2 | placed by its section's era | no dated position record
NO-POSITION | vision-3 | placed by its section's era | no dated position record
NO-POSITION | vision-4 | placed by its section's era | no dated position record
NO-POSITION | vision-5 | placed by its section's era | no dated position record
NO-POSITION | zechariah-1-8 | placed by its section's era | no dated position record
NO-POSITION | zephaniah | placed by its section's era | no dated position record
